name,version,hash
tiarra-conf-el,20100212+r39209-9,dd9348a0fbe96f27cceca9db539bfbb3
libreoffice-l10n-gug,1:7.0.4-4+deb11u1,7871759eb3390afad87ba438ea8c26b7
freewnn-jserver,1.1.1~a021+cvs20130302-7+b2,019ee5b16afe619d2265c8ab84ec307f
x86info,1.31~pre0.8052aabdd159bc9050e7dc264f33782c5acce05f-1.1,179e24270159abd5f9c2f1b1f657ab62
node-loose-envify,1.4.0+dfsg1-1,ffff049e5e7264a127986c67e9a3519b
fonts-lohit-guru,2.91.2-2,217763277f3cbe334911f2b13f995e39
libghc-uulib-doc,0.9.24-1,b59685e2dcf032f5fed43ecb4c203254
libgcin,2.9.0+dfsg1-2,6764c19b30fca50abfc875e998481e4d
python3-django-axes-doc,5.4.3-1,d2d8e19f3ad029fe9f4d1ee5e26d8a67
python3-texttable,1.6.3-2,4975c97e1fe2e7c3fba412072a20286d
gnome-usage,3.38.0-1,25f101ce55d721af87fb0df4892c7437
liburi-cpan-perl,1.007-2,2cbc2077900f7797ef06fed8b4a0a6e2
python3-tempora,2.1.1-1,2a0a377d8e57c56f2f4eab7106da5816
pinentry-doc,1.1.0-4,452df064e16f157b28a997de0671cc12
node-fs-readdir-recursive,1.1.0-1,3e6505bfe0e61c1ed302bfb54855dfd8
libghc-lens-family-core-doc,2.0.0-1,dc946217ea047250ca8bcb9c85528127
libghc-web-routes-hsp-doc,0.24.6.1-7,180a497d7945ec19216f972ab1d662ee
golang-pault-go-config-dev,0.1-3,05ba78a71feaf3d43b4acc7555132283
libkido-gui-osg-dev,6.9.5-3,f017734ed54615367e4ac03ad9940ee4
opencl-clhpp-headers-doc,3.0~2.0.13-1,271c43df876807f467955bda2955a10a
simkamin,1.5.3-4,7ef47c00e58e0788d6b14088a70ddc29
mplayer,2:1.4+ds1-1,967f3e724f34dac2068af075bbdb910d
librdf-endpoint-perl,0.11-1,e8c200d770150a5d0e0b391ba8fa0c02
libghc-th-data-compat-doc,0.1.0.0-1,a512913018279b69759d8c9f48e950c8
libosmo-ranap3,0.6.1+dfsg1-2,4b8549f299b43743adf381604cfa6892
libghc-gtk3-dev,0.15.5-1,76969cabc67265c3f82c0de456371930
golang-github-spf13-cast-dev,1.3.1-1,7c61e749ee4928135688bf100bd57108
clickhouse-client,18.16.1+ds-7.2+b1,d301170ffb96df74451ef255c5978547
ezstream,1.0.2-1,5afef595ccd8ddc5a4f23205c849d0cf
libtest-mojibake-perl,1.3-1,e63384f3c6720d37cb9fb45a2a6180b8
python3-lmdb,1.0.0-1+b1,b1a9e52cf05a47b60808dc7a9500da27
transmission,3.00-1,d476724e772e139f7039059d6c89c622
liblog4tango5v5,9.3.4+dfsg1-1,87cf839979ad2af960991e8877d59791
golang-github-ncabatoff-go-seq-dev,0.0~git20180805.b08ef85-3,4240212e4e3ac54a15ed673a2207e7c8
python-guizero-doc,1.1.1+dfsg1-3,909548ab82517bf50efdb8fa6927b1d0
ghostscript-doc,9.53.3~dfsg-7+deb11u1,3fcd06d3de7891cb614bd855a516e517
libiniparser1,4.1-4,6585008fdae8162bd050dc13038256ef
python3-easyprocess,0.2.5-2,401c0e983640262c3acdcf9d218d40ee
libghc-hspec-contrib-prof,0.5.1-2+b2,15b3c8aa052566323151cf6682ad0b60
r-bioc-genomicfeatures,1.42.1+dfsg-1,50de32ec204e1aea080d09acf90173c5
ruby-hikidoc,0.1.0-2.1,4635b222033c8359fc8b491b5dc1cfbb
rtl-sdr,0.6.0-3,0504b6ece4367a82da581e50aec311b2
printer-driver-postscript-hp,3.21.2+dfsg1-2,80d875d52771193d9b2e6f2102884fd4
php-libvirt-php,0.5.5-3,3cfd349a31455868f0c7f36764a43737
python3-getfem++,5.3+dfsg1-3+b9,af14a2f2221a24130f8cc5ed53c6c120
libgzstream-dev,1.5+dfsg-5,63fd78f728007f62c709fd3cdd45b7ed
libpreludedb-dev,5.2.0-1+b1,5bf5e85f34611ff23147f2e957a03909
libghc-ekg-doc,0.4.0.15-6,b45183279dccd8ac8c3df6c723363fb9
octave-psychtoolbox-3,3.0.17.9.dfsg1-2,34a3da17d208976b6ddb53c4d681e999
cargo-lock,4.0.1-2+b1,877937e09f793aedc00b835272e5ce63
starlet,0.31-1.1,63663ed0a91759c75b593d1aaa93e3d5
wpan-tools,0.9-1,e2913ff8ca263ce65870d9392be0a76e
libblitz0-dev,1:1.0.2+ds-2,c797913c74baa84057c8181cfa743991
libgcc-10-dev-sparc64-cross,10.2.1-6cross1,85f216d6b7edc10138ad8fc079f155ef
lua-posix-dev,33.4.0-3+b1,5ec9a0c8e04c27741e3b974e02c0d4df
puppet-module-swift,17.4.1-3,44662e94d8c9a68705e12459e5e6c732
python3-astropy-helpers,4.0.1-1,74c36ed6660786ddb792ef48cd76edb8
python3-pyhamtools,0.7.6-1,f60137e9ea5cdd19612b857b410a3e2e
golang-github-inconshreveable-mousetrap-dev,1.0.0-1,2f8e9b89627263f3f7f44372b5b8a194
dvi2ps-fontdata-ja,1.0.1-3.1,84c44652e802cd74ad3215ff55bd3379
octave-optiminterp,0.3.6-3+b1,d6c62ca6612708ec2d87205f9b671153
libstax-java,1.2.0-4,e0fc4ca4c834db0d20f28a1a69591db9
sofia-sip-doc,1.12.11+20110422.1-2.1,99960d6c1c178e08ffdcf1892c469aac
juffed-plugins,0.10-89-g3690b60-5+b1,e0fd16c19af2c60b45c38a337b1a702e
lib64gcc-s1-powerpc-cross,10.2.1-6cross1,4180379df31c28dbb61b401b9852701c
golang-github-gedex-inflector-dev,0.0~git20170307.0.16278e9-1.1,3c6d285a25dc78a511a1b09954562634
python3-clang-11,1:11.0.1-2,e2949fb010103e12a3e5682b5b46eb30
